tracker,trial,batch_size,learning_rate,hidden_size,epochs,accuracy,time_sec,energy_kwh,co2_kg
eco2ai,20,32,0.0009451427457063,256,1,0.9614,3.58484411239624,1.572998716968262e-07,5.2965068998525154e-08
eco2ai,21,128,0.0001720967084739,256,2,0.9212,4.239979982376099,1.863410043605048e-07,6.2743624942243e-08
eco2ai,22,128,0.0003181242230645,256,1,0.9209,3.0189409255981445,1.323329629803993e-07,4.455836129698217e-08
eco2ai,23,64,0.0004414469895543,128,4,0.9637,7.290996789932251,3.2224640949721105e-07,1.0850487752744393e-07
eco2ai,24,32,0.0008951224971605,256,2,0.9711,5.457747220993042,2.410695479458506e-07,8.117149176703914e-08
eco2ai,25,128,0.005812521049725,128,2,0.9633,4.113159894943237,1.813387702043201e-07,6.105930267057743e-08
eco2ai,26,64,0.001465557476021,64,5,0.9731,8.117729187011719,3.59144856521425e-07,1.209291012187551e-07
eco2ai,27,64,0.0015642656078949,256,4,0.9762,7.721871852874756,3.3456672125453226e-07,1.1265329898049858e-07
eco2ai,28,64,0.000449713119813,256,3,0.9642,6.438405275344849,2.7268790059679305e-07,9.18178337615486e-08
eco2ai,29,32,0.0037621109823697,128,5,0.9767,10.259224891662598,4.359136817303503e-07,1.4677823943015317e-07
eco2ai,30,32,0.0010477738603096,64,4,0.9697,8.19478988647461,3.500402498283014e-07,1.1786345268068669e-07
eco2ai,31,32,0.0018585280814838,128,4,0.9704,8.44840693473816,3.632398106174151e-07,1.223079295922323e-07
eco2ai,32,32,0.0062346579289012,128,1,0.9565,3.3984010219573975,1.0593289185408141e-07,3.5669087747755165e-08
eco2ai,33,64,0.0097912665149138,64,3,0.9648,5.591963768005371,1.7516563568581962e-07,5.8980721854315066e-08
eco2ai,34,64,0.001794643098686,256,4,0.9761,7.523256063461304,2.3845518772986906e-07,8.029120008127515e-08
eco2ai,35,64,0.0012855586468911,128,3,0.9716,5.770473003387451,1.5952116234984718e-07,5.371300865946643e-08
eco2ai,36,32,0.0005334609556299,256,4,0.9758,9.300716876983644,2.6160666985712546e-07,8.808662823427213e-08
eco2ai,37,64,0.0001011483389398,256,1,0.9067,3.2204322814941406,9.137657798419241e-08,3.0767773079369374e-08
eco2ai,38,32,0.0022388119194194,256,4,0.9757,9.026226043701172,2.587558203822482e-07,8.712670730418834e-08
eco2ai,39,128,0.0004533007803434,64,5,0.9469,7.532063007354736,2.158940787921893e-07,7.269455884643321e-08
eco2ai,40,128,0.0004265476603779,64,4,0.9402,6.65550422668457,2.7165242170895e-07,9.146917352330737e-08
eco2ai,41,64,0.000159252023166,128,5,0.944,8.444813013076782,3.471632784188235e-07,1.1689473612951577e-07
eco2ai,42,32,0.0035845449080642,128,2,0.9716,5.036440134048462,2.0768049170328603e-07,6.992892908338024e-08
eco2ai,43,128,0.0021189767284219,64,2,0.9596,4.076963901519775,1.6844636211923594e-07,5.6718248374616406e-08
eco2ai,44,128,0.0001419724788029,256,2,0.9194,4.257501840591431,1.694799672145564e-07,5.7066277680682144e-08
eco2ai,45,128,0.0036451357763532,256,3,0.9694,5.591132164001465,2.1890235446335285e-07,7.370748738077338e-08
eco2ai,46,32,0.0001308068765244,64,3,0.9261,6.5363609790802,2.56992570886041e-07,8.653299651332241e-08
eco2ai,47,128,0.0001524268317018,64,1,0.8787,2.9038100242614746,1.1447737959656481e-07,3.854613639347773e-08
eco2ai,48,64,0.0015124159387224,64,2,0.9548,4.339878797531128,1.730382697606577e-07,5.8264407964190096e-08
