trial,model,dataset,device,batch_size,learning_rate,epochs,accuracy,time_sec,energy_kwh,co2_kg,tool,hidden_size,accuracy_pct,energy_wh,co2_g,relative_accuracy,aer_energy,aer_co2,aer_time,aer_relative
37,SimpleNN,MNIST,mps,64,0.0038494790049109,2,0.9711,5.139147996902466,8.523591e-06,2.450818086e-06,CarbonTracker,,97.11,0.008523590999999999,0.002450818086,0.990211073722851,11393.085379155336,39623.503904565194,18.89612831903876,116.17299254772445
38,SimpleNN,MNIST,mps,64,0.0043809084555038,6,0.9697,15.458601236343384,2.5509555e-05,7.33485175e-06,CarbonTracker,,96.97,0.025509555,0.00733485175,0.9887835219741,3801.32072080442,13220.444435022153,6.27288320058494,38.76130030390966
39,SimpleNN,MNIST,mps,32,0.0007580307590219,5,0.9765,19.108526945114136,3.1682111e-05,9.109668381e-06,CarbonTracker,,97.65,0.031682111000000006,0.009109668381,0.9957173447537473,3082.1809821952834,10719.380323840134,5.110284025580954,31.42837750785442
40,SimpleNN,MNIST,mps,256,0.0002186210509098,4,0.924,5.9003520011901855,1.103524e-05,3.173001235e-06,CarbonTracker,,92.4,0.01103524,0.003173001235,0.9421841541755889,8373.175390838804,29120.69462210594,15.660082649537113,85.37957979849907
41,SimpleNN,MNIST,mps,32,0.0001300866763365,4,0.9421,15.461552143096924,2.5600737e-05,7.361069407e-06,CarbonTracker,,94.21000000000001,0.025600737000000002,0.007361069407,0.9606403589272968,3679.9721820508526,12798.41213158663,6.093178687888828,37.523933741723795
42,SimpleNN,MNIST,mps,256,0.0001763165771829,4,0.9203,5.8760833740234375,1.1197187e-05,3.219566329e-06,CarbonTracker,,92.03,0.011197186999999999,0.003219566329,0.9384113388396043,8219.028582803878,28584.595127314737,15.66179275243771,83.80777590296601
43,SimpleNN,MNIST,mps,256,0.0019442020807912,4,0.9688,5.928802728652954,1.1713319e-05,3.367971572e-06,CarbonTracker,,96.88,0.011713319,0.003367971572,0.9878658101356173,8270.926455601524,28765.088400811477,16.34056730067851,84.33696803917124
44,SimpleNN,MNIST,mps,64,0.0001349800214133,4,0.9375,10.320446014404297,1.7356684e-05,4.990628175e-06,CarbonTracker,,93.75,0.017356683999999997,0.004990628175,0.9559498317528295,5401.377359868971,18785.210340780395,9.08390973308253,55.076754969603044
45,SimpleNN,MNIST,mps,256,0.0059241303957898,5,0.9753,7.328949928283691,1.455384e-05,4.184716446e-06,CarbonTracker,,97.53,0.01455384,0.004184716446,0.9944937289691036,6701.324186606422,23306.238608645745,13.307499840272449,68.33205043954747
46,SimpleNN,MNIST,mps,64,0.0001899883799825,4,0.9428,10.309208154678345,1.6999885e-05,4.888036498e-06,CarbonTracker,,94.28,0.016999885,0.004888036498,0.9613541348016722,5545.919869457941,19287.90835309348,9.14522226978369,56.55062577197859
47,SimpleNN,MNIST,mps,32,0.0081779114876944,6,0.9655,22.820237159729004,3.6589114e-05,1.0520595931e-05,CarbonTracker,,96.55,0.036589114,0.010520595931,0.9845008667278473,2638.7629938237915,9177.23678708215,4.2308938037849275,26.90693375980209
48,SimpleNN,MNIST,mps,64,0.0001692400280919,5,0.9467,12.916903972625732,2.1335775e-05,6.134750177e-06,CarbonTracker,,94.67,0.021335775,0.006134750177,0.965330886101764,4437.148404499017,15431.761240242595,7.32915567078847,45.24470688792715
49,SimpleNN,MNIST,mps,128,0.0036503546282633,2,0.9718,3.7712502479553223,7.211273e-06,2.073482695e-06,CarbonTracker,,97.18,0.007211273,0.002073482695,0.9909248495972265,13476.122731728505,46868.00629411571,25.768642654432327,137.4133040861477
