trial,device,batch_size,learning_rate,epochs,channels,noise_factor,psnr,time_sec,energy_kwh,co2_kg,tool,noise_std,energy_wh,co2_g,relative_psnr,aer_energy,aer_co2,aer_time,aer_relative
16,mps,16,0.0060101481709927,1,32,,23.834431869506837,13.30159616470337,3.2564240052427826e-07,1.0964835525013185e-07,Eco2AI,0.1336092771920082,0.00032564240052427825,0.00010964835525013186,0.7860653273698401,73192.04081266395,217371.54027650747,1.7918475026894154,2413.8912073620927
17,mps,32,0.0028518970391028,1,32,,25.545639287930328,10.34491491317749,2.562416392822797e-07,8.628014732929351e-08,Eco2AI,0.1080677475567584,0.0002562416392822797,8.628014732929352e-05,0.8425013618818132,99693.55238080124,296077.83573240566,2.4693909522049284,3287.9174682210833
18,mps,16,0.0018258646387809,4,128,,23.582754638671876,118.56699109077454,2.979709033895688e-06,1.0033097476391523e-06,Eco2AI,0.1792830593704111,0.002979709033895688,0.0010033097476391524,0.7777649514292277,7914.44881711811,23504.959155598262,0.19889814544266363,261.0204360834432
19,mps,32,0.0083606957459528,4,64,,19.048030539442557,50.07069516181946,1.244843310807179e-06,4.191561705551286e-07,Eco2AI,0.1992157010428203,0.001244843310807179,0.00041915617055512857,0.628208653921963,15301.548696190099,45443.75552008558,0.3804227298599062,504.64877665175476
4,mps,16,0.0002994207654884,1,64,0.0796124236757668,27.195281982421875,16.21326184272766,9.007367690404256e-05,2.098716671864191e-05,Cumulator,,0.09007367690404255,0.02098716671864191,0.8969069769091956,301.9226361925205,1295.8053055472985,1.677347978847336,9.957481561063506
5,mps,8,0.0061750325144094,3,64,0.1445689790989071,24.207418948364257,42.713013887405396,0.0002372945162985,5.5289622297551894e-05,Cumulator,,0.2372945162985,0.055289622297551896,0.7983665314367967,102.01423667925391,437.82934197103583,0.5667457466751649,3.3644541976372815
6,mps,16,0.0002382540029319,4,32,0.1308528786665856,24.341571530151366,26.90868878364563,0.0001494927154646,3.4831802703274623e-05,Cumulator,,0.14949271546460002,0.03483180270327462,0.8027909160286908,162.82781040200896,698.8318043000099,0.9045989466772351,5.370100566664683
7,mps,32,0.0055104622254552,2,128,0.1296537563273729,11.225886817176502,53.56609916687012,0.0002975894398159,6.933833947711521e-05,Cumulator,,0.2975894398159,0.06933833947711521,0.37023246219055794,37.7227324468276,161.90013925674631,0.20957073581567714,1.2441048392698262
8,mps,32,0.0002948589439104,1,32,0.1144251130529903,24.104684232522885,8.834256887435913,4.907919963200887e-05,1.1435453514258069e-05,Cumulator,,0.04907919963200887,0.011435453514258068,0.7949783156621463,491.1384947851125,2107.8905355584225,2.7285468986989256,16.197866338954533
9,mps,16,0.0016382524512421,1,32,0.2315706653083479,21.784734411621095,8.867277145385742,4.926264418496026e-05,1.1478196095095742e-05,Cumulator,,0.049262644184960264,0.011478196095095742,0.7184658094932085,442.2161004965281,1897.9231780966873,2.456755783589915,14.584393943525953
10,mps,8,0.0010523877112492,1,32,0.1980841629880951,22.49915587310791,19.38992476463318,0.0001077217989497,2.509917915529675e-05,Cumulator,,0.10772179894969999,0.02509917915529675,0.74202760207456,208.86353637311373,896.4100273518247,1.1603529227790457,6.888369942847362
11,mps,32,0.0001439085574145,4,64,0.0712883936875015,28.284751849433484,38.05743217468262,0.0002114301787482,4.926323164833916e-05,Cumulator,,0.2114301787482,0.049263231648339165,0.9328379566095217,133.77821471323088,574.1554279536807,0.7432123039622646,4.4120378752575
12,mps,16,0.0001543603183528,1,64,0.1122292743918496,25.114050549316406,14.431061029434204,8.017255597644382e-05,1.8680205542511407e-05,Cumulator,,0.08017255597644382,0.01868020554251141,0.8282674609033835,313.24996744141947,1344.420461121972,1.7402774818908133,10.331059685146421
13,mps,32,0.0005793196638599,2,64,0.0910150134337708,26.981259678118526,21.384703159332275,0.0001188039064407,2.7681310200691226e-05,Cumulator,,0.1188039064407,0.027681310200691225,0.8898484695523706,227.1075125933338,974.7103544775414,1.2617084032959287,7.490060690862309
14,mps,16,0.0016609974644002,4,32,0.1943638149697043,22.732473431396485,25.165886878967285,0.0001398104786872,3.257584153413773e-05,Cumulator,,0.13981047868719998,0.03257584153413773,0.7497224715743395,162.59491881331857,697.8322695846269,0.9033050788444672,5.36241974574527
